Date,Time,Department ID,Abandonment Time (seconds)
24/10/2023,16:27:06,1,326
29/07/2023,8:01:34,1,24
07/05/2024,12:31:20,1,7
27/11/2023,13:56:43,3,404
10/05/2024,15:37:44,1,552
08/05/2023,7:15:06,1,566
31/05/2024,8:40:13,1,296
09/06/2022,14:28:41,1,123
13/06/2023,11:17:18,2,86
06/08/2022,17:11:26,1,286
16/06/2024,16:04:19,1,548
21/07/2023,15:26:36,1,382
05/10/2024,14:41:14,2,415
03/01/2024,20:04:36,3,326
26/01/2022,17:38:22,1,463
06/10/2023,12:16:28,1,190
10/05/2024,14:31:26,1,165
12/05/2022,6:10:35,1,193
14/04/2023,16:02:13,1,196
31/10/2022,12:41:26,2,415
10/06/2024,16:05:42,1,549
26/11/2023,12:43:50,2,150
12/02/2023,7:10:23,4,278
24/06/2023,8:20:51,4,400
10/08/2023,10:37:56,1,346
03/04/2024,10:16:22,1,95
18/01/2022,20:49:05,3,12
22/05/2023,9:09:45,2,229
18/08/2023,11:51:38,1,101
27/02/2024,9:37:27,3,294
31/08/2023,13:19:37,3,453
29/06/2024,13:34:16,1,453
08/07/2023,11:40:47,3,123
16/04/2023,14:49:03,1,231
16/02/2024,5:31:44,3,590
04/02/2023,7:03:54,1,112
15/02/2022,15:49:29,1,220
03/07/2024,17:22:37,4,71
23/12/2024,18:47:55,4,346
19/11/2023,11:10:07,1,253
06/03/2024,10:51:41,3,568
14/08/2022,8:31:05,4,320
07/09/2024,10:56:21,3,235
14/05/2022,4:59:53,1,463
02/09/2022,11:29:51,1,106
15/02/2022,13:09:03,1,71
30/01/2022,13:50:57,3,548
18/04/2022,14:36:57,3,59
13/05/2023,13:12:19,1,355
10/04/2024,15:20:30,1,345
10/03/2022,15:46:20,1,506
19/11/2024,15:19:03,2,209
06/04/2024,10:36:49,2,100
16/08/2023,15:26:17,3,547
17/08/2024,19:15:01,3,233
05/01/2024,11:48:19,2,295
17/10/2024,15:19:40,2,502
03/04/2024,17:46:45,1,36
17/04/2023,11:55:13,1,450
02/08/2022,11:13:34,1,158
21/03/2023,11:40:09,1,516
04/07/2023,13:19:58,1,96
04/05/2023,12:55:26,2,131
28/10/2023,13:50:41,4,226
07/05/2022,6:07:26,1,199
26/06/2022,14:56:15,1,163
18/05/2022,14:44:52,1,108
16/04/2022,15:47:29,3,242
20/12/2024,6:23:38,3,217
13/08/2022,11:01:35,3,76
02/01/2022,14:18:01,1,149
16/05/2023,12:43:20,1,368
08/06/2024,16:29:59,2,129
04/09/2023,14:12:48,2,11
11/12/2024,12:20:47,3,46
11/11/2023,18:39:38,1,378
09/08/2022,10:55:49,1,452
17/04/2024,13:48:33,4,446
03/11/2023,9:02:24,3,329
03/03/2022,13:58:37,2,256
07/04/2024,14:41:36,4,541
13/07/2024,8:56:28,3,232
30/05/2023,16:08:10,4,485
03/12/2023,14:49:39,2,127
22/12/2024,17:04:34,1,138
28/02/2022,13:40:26,1,346
02/07/2024,15:09:19,2,407
18/07/2023,10:13:39,1,107
31/10/2022,7:32:18,2,577
23/01/2023,20:53:11,3,293
24/04/2024,13:17:09,1,83
19/12/2024,15:13:07,1,422
28/05/2022,13:35:24,1,409
15/11/2023,10:53:20,2,556
14/09/2023,20:30:16,1,433
18/10/2024,16:54:40,1,350
11/07/2024,13:52:11,1,70
03/08/2024,12:01:21,1,546
24/05/2023,12:02:04,1,95
01/06/2022,12:36:33,2,16
09/10/2023,19:49:40,1,91
09/04/2023,12:31:53,2,55
30/12/2024,13:19:59,1,415
10/07/2024,10:04:54,3,130
27/04/2022,15:03:04,1,550
24/09/2024,8:56:03,2,266
28/06/2023,13:17:00,2,519
16/06/2022,9:59:18,4,87
28/08/2022,13:19:07,2,462
11/09/2022,15:21:03,1,417
05/09/2023,16:24:00,1,225
28/03/2024,12:32:27,4,252
30/06/2023,12:59:05,4,485
21/09/2022,12:10:56,1,211
29/02/2024,16:07:43,1,136
17/04/2023,20:08:43,1,230
14/06/2024,13:22:17,1,338
25/09/2023,16:31:35,2,25
17/02/2023,18:38:38,3,228
16/09/2023,18:03:32,1,243
26/04/2023,15:07:13,1,20
17/09/2022,23:03:19,1,419
11/03/2023,9:22:53,1,192
07/07/2023,6:01:48,4,425
16/09/2022,9:47:27,2,435
18/08/2024,17:34:10,3,583
20/08/2023,17:55:46,4,127
11/03/2023,19:49:50,3,560
19/10/2023,10:51:45,3,405
27/12/2024,11:15:57,1,117
21/08/2024,18:30:42,1,586
02/12/2024,12:43:20,1,53
12/08/2024,17:33:45,3,365
11/08/2023,12:01:31,1,341
24/11/2023,12:43:51,2,153
15/02/2023,15:38:16,4,139
02/12/2022,11:55:17,4,18
09/12/2023,11:24:34,1,469
07/02/2024,5:59:59,2,162
02/05/2024,22:19:23,3,217
28/11/2023,8:48:54,1,33
03/12/2022,12:37:05,1,416
16/12/2023,19:16:53,3,211
20/09/2022,17:30:06,1,335
24/08/2023,16:30:49,1,285
17/04/2022,20:39:55,2,553
19/05/2022,20:24:07,1,364
28/11/2023,12:40:37,1,440
22/02/2022,16:00:38,1,262
14/04/2024,14:21:01,1,7
29/03/2023,14:10:43,2,31
19/01/2023,13:10:39,3,269
15/08/2023,20:58:18,1,391
13/02/2024,9:41:25,1,179
02/04/2023,17:32:24,1,205
23/11/2023,10:10:32,1,127
19/02/2024,10:51:40,1,369
17/05/2023,18:18:43,3,264
10/10/2022,14:55:14,1,119
26/09/2022,3:18:06,2,568
21/06/2024,10:50:39,2,132
03/06/2022,13:40:48,3,211
04/04/2023,12:06:30,3,473
05/09/2024,16:35:22,1,122
12/10/2022,7:22:51,1,219
10/05/2024,18:49:38,1,22
26/07/2022,8:59:52,4,14
08/01/2024,18:19:18,2,442
17/02/2022,12:48:53,2,132
13/07/2023,10:40:48,1,84
09/10/2023,16:59:43,1,273
27/10/2023,11:40:13,4,356
13/11/2023,15:27:22,3,63
07/07/2024,19:03:42,1,256
04/11/2022,13:52:31,1,191
26/09/2023,16:51:07,1,82
16/01/2023,19:13:52,1,37
06/01/2023,16:06:57,1,106
04/12/2024,6:21:37,1,369
16/07/2023,14:15:39,1,38
25/12/2022,15:29:56,1,205
30/10/2023,11:29:09,2,573
20/02/2022,14:11:50,2,305
18/07/2024,8:35:48,1,177
21/07/2023,9:24:59,2,15
16/11/2022,16:26:19,4,392
27/10/2024,11:22:37,3,249
06/07/2024,10:57:20,1,30
28/08/2024,11:03:58,1,305
07/12/2024,14:31:54,4,110
23/03/2024,23:21:46,2,261
31/05/2024,19:36:30,2,468
08/12/2022,12:02:04,3,351
25/07/2023,12:24:23,3,322
13/02/2024,17:05:15,2,176
08/07/2023,13:54:36,1,167
21/04/2024,11:04:22,3,478
10/02/2024,16:05:14,1,32
13/01/2023,13:18:35,2,1
21/12/2022,14:58:06,2,40
07/08/2022,9:35:32,1,21
25/01/2023,15:59:31,1,438
16/11/2023,15:51:45,1,220
13/07/2024,21:34:33,1,321
13/05/2023,9:30:39,1,266
01/12/2023,17:05:34,2,308
04/11/2024,11:33:16,1,149
21/10/2024,15:39:06,1,172
20/06/2023,15:34:58,4,428
26/06/2023,14:47:07,4,595
29/12/2022,11:51:52,2,113
31/07/2024,20:05:17,1,312
01/12/2023,14:43:32,1,430
17/10/2022,8:13:21,4,70
26/02/2022,10:33:55,1,468
03/12/2024,10:00:24,2,549
13/05/2023,15:31:12,2,515
01/10/2024,12:11:48,1,402
12/05/2023,13:45:57,3,125
16/05/2023,14:27:45,1,135
04/06/2023,16:02:03,1,406
14/01/2022,19:29:17,1,287
01/09/2022,17:51:48,1,238
22/03/2024,10:17:14,1,101
28/02/2023,14:46:59,2,293
18/06/2023,17:31:50,3,186
21/11/2023,10:02:37,1,340
08/01/2022,16:35:04,1,595
02/11/2024,18:30:40,4,135
04/12/2023,12:24:19,3,240
21/02/2023,11:04:18,4,37
26/04/2022,10:26:25,1,262
08/04/2023,23:43:48,1,568
15/11/2024,14:31:50,2,85
16/01/2024,17:30:49,2,275
30/03/2022,10:30:46,1,60
19/12/2024,15:06:41,1,261
26/06/2023,5:31:01,1,46
26/07/2023,17:49:21,2,224
19/10/2022,16:58:58,2,121
22/07/2024,13:41:26,2,384
24/03/2024,22:29:47,1,578
06/04/2024,12:45:18,1,207
27/04/2022,15:07:19,1,78
